2018-08-04 14:37:14.929 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.francis.speeroad.service.TokenTest], using SpringBootContextLoader
2018-08-04 14:37:14.936 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.francis.speeroad.service.TokenTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-08-04 14:37:14.937 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.francis.speeroad.service.TokenTest]: TokenTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-08-04 14:37:15.131 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.francis.speeroad.SpeeroadApplication for test class com.francis.speeroad.service.TokenTest
2018-08-04 14:37:15.343 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-08-04 14:37:15.360 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@44a7bfbc, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@4ef37659, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@776b83cc, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@37858383, org.springframework.test.context.support.DirtiesContextTestExecutionListener@4e268090, org.springframework.test.context.transaction.TransactionalTestExecutionListener@1bb266b3, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@306cf3ea, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@2beee7ff, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@5136d012, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@5939a379, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@e1de817, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@52102734]
2018-08-04 14:37:15.622 [main] INFO  com.francis.speeroad.service.TokenTest - Starting TokenTest on HIH-D-4799 with PID 6304 (started by hzzhugequn in E:\code\personal\speeroad)
2018-08-04 14:37:15.623 [main] INFO  com.francis.speeroad.service.TokenTest - No active profile set, falling back to default profiles: default
2018-08-04 14:37:15.663 [main] INFO  o.s.w.context.support.GenericWebApplicationContext - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@6cb107fd: startup date [Sat Aug 04 14:37:15 CST 2018]; root of context hierarchy
2018-08-04 14:37:16.253 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.francis.speeroad]' package. Please check your configuration.
2018-08-04 14:37:16.944 [main] INFO  com.francis.speeroad.http.HttpManager - [init] http connection inti suc. maxTotal:200, defaultMaxTotal:20
